evarname,pvarname,n,e_table_name,p_table_name
DRDTSODI,TeloMean,3443,DRXTOT,TELO_A
DRDTSODI,TeloStd,3443,DRXTOT,TELO_A
DRXTALCO,TeloMean,3443,DRXTOT,TELO_A
DRXTALCO,TeloStd,3443,DRXTOT,TELO_A
DRXTCAFF,TeloMean,3443,DRXTOT,TELO_A
DRXTCAFF,TeloStd,3443,DRXTOT,TELO_A
DRXTCALC,TeloMean,3443,DRXTOT,TELO_A
DRXTCALC,TeloStd,3443,DRXTOT,TELO_A
DRXTCARB,TeloMean,3443,DRXTOT,TELO_A
DRXTCARB,TeloStd,3443,DRXTOT,TELO_A
DRXTCARO,TeloMean,3443,DRXTOT,TELO_A
DRXTCARO,TeloStd,3443,DRXTOT,TELO_A
DRXTCHOL,TeloMean,3443,DRXTOT,TELO_A
DRXTCHOL,TeloStd,3443,DRXTOT,TELO_A
DRXTCOPP,TeloMean,3443,DRXTOT,TELO_A
DRXTCOPP,TeloStd,3443,DRXTOT,TELO_A
DRXTFIBE,TeloMean,3443,DRXTOT,TELO_A
DRXTFIBE,TeloStd,3443,DRXTOT,TELO_A
DRXTFOLA,TeloMean,3443,DRXTOT,TELO_A
DRXTFOLA,TeloStd,3443,DRXTOT,TELO_A
DRXTIRON,TeloMean,3443,DRXTOT,TELO_A
DRXTIRON,TeloStd,3443,DRXTOT,TELO_A
DRXTKCAL,TeloMean,3443,DRXTOT,TELO_A
DRXTKCAL,TeloStd,3443,DRXTOT,TELO_A
DRXTM161,TeloMean,3443,DRXTOT,TELO_A
DRXTM161,TeloStd,3443,DRXTOT,TELO_A
DRXTM181,TeloMean,3443,DRXTOT,TELO_A
DRXTM181,TeloStd,3443,DRXTOT,TELO_A
DRXTM201,TeloMean,3443,DRXTOT,TELO_A
DRXTM201,TeloStd,3443,DRXTOT,TELO_A
DRXTM221,TeloMean,3443,DRXTOT,TELO_A
DRXTM221,TeloStd,3443,DRXTOT,TELO_A
DRXTMAGN,TeloMean,3443,DRXTOT,TELO_A
DRXTMAGN,TeloStd,3443,DRXTOT,TELO_A
DRXTMFAT,TeloMean,3443,DRXTOT,TELO_A
DRXTMFAT,TeloStd,3443,DRXTOT,TELO_A
DRXTNIAC,TeloMean,3443,DRXTOT,TELO_A
DRXTNIAC,TeloStd,3443,DRXTOT,TELO_A
DRXTP182,TeloMean,3443,DRXTOT,TELO_A
DRXTP182,TeloStd,3443,DRXTOT,TELO_A
DRXTP183,TeloMean,3443,DRXTOT,TELO_A
DRXTP183,TeloStd,3443,DRXTOT,TELO_A
DRXTP184,TeloMean,3443,DRXTOT,TELO_A
DRXTP184,TeloStd,3443,DRXTOT,TELO_A
DRXTP204,TeloMean,3443,DRXTOT,TELO_A
DRXTP204,TeloStd,3443,DRXTOT,TELO_A
DRXTP205,TeloMean,3443,DRXTOT,TELO_A
DRXTP205,TeloStd,3443,DRXTOT,TELO_A
DRXTP225,TeloMean,3443,DRXTOT,TELO_A
DRXTP225,TeloStd,3443,DRXTOT,TELO_A
DRXTP226,TeloMean,3443,DRXTOT,TELO_A
DRXTP226,TeloStd,3443,DRXTOT,TELO_A
DRXTPFAT,TeloMean,3443,DRXTOT,TELO_A
DRXTPFAT,TeloStd,3443,DRXTOT,TELO_A
DRXTPHOS,TeloMean,3443,DRXTOT,TELO_A
DRXTPHOS,TeloStd,3443,DRXTOT,TELO_A
DRXTPOTA,TeloMean,3443,DRXTOT,TELO_A
DRXTPOTA,TeloStd,3443,DRXTOT,TELO_A
DRXTPROT,TeloMean,3443,DRXTOT,TELO_A
DRXTPROT,TeloStd,3443,DRXTOT,TELO_A
DRXTS040,TeloMean,3443,DRXTOT,TELO_A
DRXTS040,TeloStd,3443,DRXTOT,TELO_A
DRXTS060,TeloMean,3443,DRXTOT,TELO_A
DRXTS060,TeloStd,3443,DRXTOT,TELO_A
DRXTS080,TeloMean,3443,DRXTOT,TELO_A
DRXTS080,TeloStd,3443,DRXTOT,TELO_A
DRXTS100,TeloMean,3443,DRXTOT,TELO_A
DRXTS100,TeloStd,3443,DRXTOT,TELO_A
DRXTS120,TeloMean,3443,DRXTOT,TELO_A
DRXTS120,TeloStd,3443,DRXTOT,TELO_A
DRXTS140,TeloMean,3443,DRXTOT,TELO_A
DRXTS140,TeloStd,3443,DRXTOT,TELO_A
DRXTS160,TeloMean,3443,DRXTOT,TELO_A
DRXTS160,TeloStd,3443,DRXTOT,TELO_A
DRXTS180,TeloMean,3443,DRXTOT,TELO_A
DRXTS180,TeloStd,3443,DRXTOT,TELO_A
DRXTSELE,TeloMean,3443,DRXTOT,TELO_A
DRXTSELE,TeloStd,3443,DRXTOT,TELO_A
DRXTSFAT,TeloMean,3443,DRXTOT,TELO_A
DRXTSFAT,TeloStd,3443,DRXTOT,TELO_A
DRXTTFAT,TeloMean,3443,DRXTOT,TELO_A
DRXTTFAT,TeloStd,3443,DRXTOT,TELO_A
DRXTTHEO,TeloMean,3443,DRXTOT,TELO_A
DRXTTHEO,TeloStd,3443,DRXTOT,TELO_A
DRXTVAIU,TeloMean,3443,DRXTOT,TELO_A
DRXTVAIU,TeloStd,3443,DRXTOT,TELO_A
DRXTVARE,TeloMean,3443,DRXTOT,TELO_A
DRXTVARE,TeloStd,3443,DRXTOT,TELO_A
DRXTVB1,TeloMean,3443,DRXTOT,TELO_A
DRXTVB1,TeloStd,3443,DRXTOT,TELO_A
DRXTVB12,TeloMean,3443,DRXTOT,TELO_A
DRXTVB12,TeloStd,3443,DRXTOT,TELO_A
DRXTVB2,TeloMean,3443,DRXTOT,TELO_A
DRXTVB2,TeloStd,3443,DRXTOT,TELO_A
DRXTVB6,TeloMean,3443,DRXTOT,TELO_A
DRXTVB6,TeloStd,3443,DRXTOT,TELO_A
DRXTVC,TeloMean,3443,DRXTOT,TELO_A
DRXTVC,TeloStd,3443,DRXTOT,TELO_A
DRXTVE,TeloMean,3443,DRXTOT,TELO_A
DRXTVE,TeloStd,3443,DRXTOT,TELO_A
DRXTWATE,TeloMean,3443,DRXTOT,TELO_A
DRXTWATE,TeloStd,3443,DRXTOT,TELO_A
DRXTZINC,TeloMean,3443,DRXTOT,TELO_A
DRXTZINC,TeloStd,3443,DRXTOT,TELO_A
HOQ065,TeloMean,3532,HOQ,TELO_A
HOQ065,TeloStd,3532,HOQ,TELO_A
LBDB12SI,TeloMean,3566,LAB06,TELO_A
LBDB12SI,TeloStd,3566,LAB06,TELO_A
LBXB12,TeloMean,3566,LAB06,TELO_A
LBXB12,TeloStd,3566,LAB06,TELO_A
LBXBCD,TeloMean,3565,LAB06,TELO_A
LBXBCD,TeloStd,3565,LAB06,TELO_A
LBXBPB,TeloMean,3565,LAB06,TELO_A
LBXBPB,TeloStd,3565,LAB06,TELO_A
LBXCOT,TeloMean,3480,LAB06,TELO_A
LBXCOT,TeloStd,3480,LAB06,TELO_A
LBXGTC,TeloMean,3092,LAB06,TELO_A
LBXGTC,TeloStd,3092,LAB06,TELO_A
LBXIHG,TeloMean,1007,LAB06,TELO_A
LBXIHG,TeloStd,1007,LAB06,TELO_A
LBXRPL,TeloMean,2848,LAB06,TELO_A
LBXRPL,TeloStd,2848,LAB06,TELO_A
LBXRST,TeloMean,2199,LAB06,TELO_A
LBXRST,TeloStd,2199,LAB06,TELO_A
LBXTHG,TeloMean,1009,LAB06,TELO_A
LBXTHG,TeloStd,1009,LAB06,TELO_A
LBXVIA,TeloMean,3557,LAB06,TELO_A
LBXVIA,TeloStd,3557,LAB06,TELO_A
LBXVIE,TeloMean,3519,LAB06,TELO_A
LBXVIE,TeloStd,3519,LAB06,TELO_A
URXUHG,TeloMean,990,LAB06,TELO_A
URXUHG,TeloStd,990,LAB06,TELO_A
LBDBHC,TeloMean,1135,LAB28POC,TELO_A
LBDBHC,TeloStd,1135,LAB28POC,TELO_A
LBX028,TeloMean,1108,LAB28POC,TELO_A
LBX028,TeloStd,1108,LAB28POC,TELO_A
LBX052,TeloMean,1147,LAB28POC,TELO_A
LBX052,TeloStd,1147,LAB28POC,TELO_A
LBX066,TeloMean,1156,LAB28POC,TELO_A
LBX066,TeloStd,1156,LAB28POC,TELO_A
LBX074,TeloMean,1150,LAB28POC,TELO_A
LBX074,TeloStd,1150,LAB28POC,TELO_A
LBX099,TeloMean,1142,LAB28POC,TELO_A
LBX099,TeloStd,1142,LAB28POC,TELO_A
LBX101,TeloMean,1155,LAB28POC,TELO_A
LBX101,TeloStd,1155,LAB28POC,TELO_A
LBX105,TeloMean,1146,LAB28POC,TELO_A
LBX105,TeloStd,1146,LAB28POC,TELO_A
LBX118,TeloMean,1153,LAB28POC,TELO_A
LBX118,TeloStd,1153,LAB28POC,TELO_A
LBX128,TeloMean,1154,LAB28POC,TELO_A
LBX128,TeloStd,1154,LAB28POC,TELO_A
LBX138,TeloMean,1155,LAB28POC,TELO_A
LBX138,TeloStd,1155,LAB28POC,TELO_A
LBX146,TeloMean,1152,LAB28POC,TELO_A
LBX146,TeloStd,1152,LAB28POC,TELO_A
LBX153,TeloMean,1152,LAB28POC,TELO_A
LBX153,TeloStd,1152,LAB28POC,TELO_A
LBX156,TeloMean,1140,LAB28POC,TELO_A
LBX156,TeloStd,1140,LAB28POC,TELO_A
LBX157,TeloMean,1140,LAB28POC,TELO_A
LBX157,TeloStd,1140,LAB28POC,TELO_A
LBX167,TeloMean,1139,LAB28POC,TELO_A
LBX167,TeloStd,1139,LAB28POC,TELO_A
LBX170,TeloMean,1058,LAB28POC,TELO_A
LBX170,TeloStd,1058,LAB28POC,TELO_A
LBX172,TeloMean,1139,LAB28POC,TELO_A
LBX172,TeloStd,1139,LAB28POC,TELO_A
LBX177,TeloMean,1119,LAB28POC,TELO_A
LBX177,TeloStd,1119,LAB28POC,TELO_A
LBX178,TeloMean,1157,LAB28POC,TELO_A
LBX178,TeloStd,1157,LAB28POC,TELO_A
LBX180,TeloMean,1155,LAB28POC,TELO_A
LBX180,TeloStd,1155,LAB28POC,TELO_A
LBX183,TeloMean,1157,LAB28POC,TELO_A
LBX183,TeloStd,1157,LAB28POC,TELO_A
LBX187,TeloMean,1157,LAB28POC,TELO_A
LBX187,TeloStd,1157,LAB28POC,TELO_A
LBXD01,TeloMean,1150,LAB28POC,TELO_A
LBXD01,TeloStd,1150,LAB28POC,TELO_A
LBXD03,TeloMean,1129,LAB28POC,TELO_A
LBXD03,TeloStd,1129,LAB28POC,TELO_A
LBXD04,TeloMean,1122,LAB28POC,TELO_A
LBXD04,TeloStd,1122,LAB28POC,TELO_A
LBXD05,TeloMean,1128,LAB28POC,TELO_A
LBXD05,TeloStd,1128,LAB28POC,TELO_A
LBXD07,TeloMean,1145,LAB28POC,TELO_A
LBXD07,TeloStd,1145,LAB28POC,TELO_A
LBXF01,TeloMean,1140,LAB28POC,TELO_A
LBXF01,TeloStd,1140,LAB28POC,TELO_A
LBXF02,TeloMean,1152,LAB28POC,TELO_A
LBXF02,TeloStd,1152,LAB28POC,TELO_A
LBXF03,TeloMean,1133,LAB28POC,TELO_A
LBXF03,TeloStd,1133,LAB28POC,TELO_A
LBXF04,TeloMean,1128,LAB28POC,TELO_A
LBXF04,TeloStd,1128,LAB28POC,TELO_A
LBXF05,TeloMean,1135,LAB28POC,TELO_A
LBXF05,TeloStd,1135,LAB28POC,TELO_A
LBXF06,TeloMean,1122,LAB28POC,TELO_A
LBXF06,TeloStd,1122,LAB28POC,TELO_A
LBXF07,TeloMean,1125,LAB28POC,TELO_A
LBXF07,TeloStd,1125,LAB28POC,TELO_A
LBXF08,TeloMean,1012,LAB28POC,TELO_A
LBXF08,TeloStd,1012,LAB28POC,TELO_A
LBXF10,TeloMean,1126,LAB28POC,TELO_A
LBXF10,TeloStd,1126,LAB28POC,TELO_A
LBXGHC,TeloMean,1040,LAB28POC,TELO_A
LBXGHC,TeloStd,1040,LAB28POC,TELO_A
LBXHCB,TeloMean,1019,LAB28POC,TELO_A
LBXHCB,TeloStd,1019,LAB28POC,TELO_A
LBXHPE,TeloMean,866,LAB28POC,TELO_A
LBXHPE,TeloStd,866,LAB28POC,TELO_A
LBXHXC,TeloMean,1134,LAB28POC,TELO_A
LBXHXC,TeloStd,1134,LAB28POC,TELO_A
LBXMIR,TeloMean,1092,LAB28POC,TELO_A
LBXMIR,TeloStd,1092,LAB28POC,TELO_A
LBXODT,TeloMean,912,LAB28POC,TELO_A
LBXODT,TeloStd,912,LAB28POC,TELO_A
LBXOXY,TeloMean,906,LAB28POC,TELO_A
LBXOXY,TeloStd,906,LAB28POC,TELO_A
LBXPCB,TeloMean,1131,LAB28POC,TELO_A
LBXPCB,TeloStd,1131,LAB28POC,TELO_A
LBXPDE,TeloMean,1169,LAB28POC,TELO_A
LBXPDE,TeloStd,1169,LAB28POC,TELO_A
LBXPDT,TeloMean,912,LAB28POC,TELO_A
LBXPDT,TeloStd,912,LAB28POC,TELO_A
LBXTC2,TeloMean,1127,LAB28POC,TELO_A
LBXTC2,TeloStd,1127,LAB28POC,TELO_A
LBXTCD,TeloMean,1134,LAB28POC,TELO_A
LBXTCD,TeloStd,1134,LAB28POC,TELO_A
LBXTNA,TeloMean,1161,LAB28POC,TELO_A
LBXTNA,TeloStd,1161,LAB28POC,TELO_A
LBDHBG,TeloMean,3563,Lab02,TELO_A
LBDHBG,TeloStd,3563,Lab02,TELO_A
LBDHCV,TeloMean,3567,Lab02,TELO_A
LBDHCV,TeloStd,3567,Lab02,TELO_A
LBDHD,TeloMean,3563,Lab02,TELO_A
LBDHD,TeloStd,3563,Lab02,TELO_A
LBXHBC,TeloMean,3563,Lab02,TELO_A
LBXHBC,TeloStd,3563,Lab02,TELO_A
LBXHCR,TeloMean,52,Lab02,TELO_A
LBXHCR,TeloStd,52,Lab02,TELO_A
LBDRUIU,TeloMean,1834,LAB19,TELO_A
LBDRUIU,TeloStd,1834,LAB19,TELO_A
LBXME,TeloMean,1834,LAB19,TELO_A
LBXME,TeloStd,1834,LAB19,TELO_A
LBXVAR,TeloMean,1834,LAB19,TELO_A
LBXVAR,TeloStd,1834,LAB19,TELO_A
LBXCD4,TeloMean,26,LAB03,TELO_A
LBXCD4,TeloStd,26,LAB03,TELO_A
LBXCD8,TeloMean,26,LAB03,TELO_A
LBXCD8,TeloStd,26,LAB03,TELO_A
LBXHA,TeloMean,3567,L02HPA_a,TELO_A
LBXHA,TeloStd,3567,L02HPA_a,TELO_A
LBXHBS,TeloMean,3561,L02HBS,TELO_A
LBXHBS,TeloStd,3561,L02HBS,TELO_A
LBXHDT,TeloMean,1679,TFA_A,TELO_A
LBXHDT,TeloStd,1679,TFA_A,TELO_A
LBXOD1,TeloMean,1672,TFA_A,TELO_A
LBXOD1,TeloStd,1672,TFA_A,TELO_A
LBXOD9,TeloMean,1646,TFA_A,TELO_A
LBXOD9,TeloStd,1646,TFA_A,TELO_A
LBXOTT,TeloMean,1651,TFA_A,TELO_A
LBXOTT,TeloStd,1651,TFA_A,TELO_A
LBXHE1,TeloMean,1823,lab09,TELO_A
LBXHE1,TeloStd,1823,lab09,TELO_A
LBXHE2,TeloMean,1823,lab09,TELO_A
LBXHE2,TeloStd,1823,lab09,TELO_A
LBXLA,TeloMean,2274,LAB07,TELO_A
LBXLA,TeloStd,2274,LAB07,TELO_A
LBXTO1,TeloMean,1834,LAB17,TELO_A
LBXTO1,TeloStd,1834,LAB17,TELO_A
LBXTO3,TeloMean,37,LAB17,TELO_A
LBXTO3,TeloStd,37,LAB17,TELO_A
LBXTO4,TeloMean,1834,LAB17,TELO_A
LBXTO4,TeloStd,1834,LAB17,TELO_A
LBXTO4IN,TeloMean,1834,LAB17,TELO_A
LBXTO4IN,TeloStd,1834,LAB17,TELO_A
LBXTO5,TeloMean,14,LAB17,TELO_A
LBXTO5,TeloStd,14,LAB17,TELO_A
LBXTO5IN,TeloMean,1834,LAB17,TELO_A
LBXTO5IN,TeloStd,1834,LAB17,TELO_A
LBXV3A,TeloMean,254,LAB04,TELO_A
LBXV3A,TeloStd,254,LAB04,TELO_A
